session_test_id,name,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
model_comparison_v1,10,audio_item_1,Opt_128,54,70208,
model_comparison_v1,10,audio_item_1,reference,100,70208,
model_comparison_v1,10,audio_item_1,Opt_256,45,70208,
model_comparison_v1,10,audio_item_2,Opt_128,66,97582,
model_comparison_v1,10,audio_item_2,reference,100,97582,
model_comparison_v1,10,audio_item_2,Opt_256,32,97582,
model_comparison_v1,10,audio_item_2,Opt_64_dropout,35,97582,
model_comparison_v1,10,audio_item_2,Opt_32,30,97582,
model_comparison_v1,10,audio_item_3,Opt_128,0,147233,
model_comparison_v1,10,audio_item_3,Opt_32,24,147233,
model_comparison_v1,10,audio_item_3,Opt_256,33,147233,
model_comparison_v1,10,audio_item_3,Opt_64_dropout,20,147233,
model_comparison_v1,10,audio_item_3,reference,100,147233,
model_comparison_v1,10,audio_item_4,Opt_128,15,100737,
model_comparison_v1,10,audio_item_4,reference,100,100737,
model_comparison_v1,10,audio_item_4,Opt_32,75,100737,
model_comparison_v1,10,audio_item_4,Opt_64_dropout,46,100737,
model_comparison_v1,10,audio_item_4,Opt_256,55,100737,
model_comparison_v1,10,audio_item_5,Opt_64_dropout,10,36996,
model_comparison_v1,10,audio_item_5,reference,100,36996,
model_comparison_v1,10,audio_item_5,Opt_32,30,36996,
model_comparison_v1,10,audio_item_5,Opt_128,73,36996,
model_comparison_v1,10,audio_item_5,Opt_256,51,36996,
model_comparison_v1,10,audio_item_6,Opt_32,41,67123,
model_comparison_v1,10,audio_item_6,reference,100,67123,
model_comparison_v1,10,audio_item_6,Opt_256,26,67123,
model_comparison_v1,10,audio_item_6,Opt_64_dropout,36,67123,
model_comparison_v1,10,audio_item_6,Opt_128,30,67123,
model_comparison_v1,10,audio_item_7,Opt_32,30,129058,
model_comparison_v1,10,audio_item_7,Opt_128,32,129058,
model_comparison_v1,10,audio_item_7,Opt_64_dropout,54,129058,
model_comparison_v1,10,audio_item_7,reference,100,129058,
model_comparison_v1,10,audio_item_7,Opt_256,44,129058,
model_comparison_v1,10,audio_item_8,Opt_32,48,123469,
model_comparison_v1,10,audio_item_8,reference,100,123469,
model_comparison_v1,10,audio_item_8,Opt_256,49,123469,
model_comparison_v1,10,audio_item_8,Opt_64_dropout,39,123469,
model_comparison_v1,10,audio_item_8,Opt_128,40,123469,
model_comparison_v1,11,audio_item_1,Opt_256,53,65222,
model_comparison_v1,11,audio_item_1,Opt_32,52,65222,
model_comparison_v1,11,audio_item_1,Opt_128,60,65222,
model_comparison_v1,11,audio_item_1,Opt_64_dropout,40,65222,
model_comparison_v1,11,audio_item_1,reference,100,65222,
model_comparison_v1,11,audio_item_2,Opt_256,32,67542,
model_comparison_v1,11,audio_item_2,Opt_32,35,67542,
model_comparison_v1,11,audio_item_2,reference,100,67542,
model_comparison_v1,11,audio_item_2,Opt_128,70,67542,
model_comparison_v1,11,audio_item_2,Opt_64_dropout,56,67542,
model_comparison_v1,11,audio_item_3,reference,100,75540,
model_comparison_v1,11,audio_item_3,Opt_256,53,75540,
model_comparison_v1,11,audio_item_3,Opt_128,49,75540,
model_comparison_v1,11,audio_item_3,Opt_64_dropout,49,75540,
model_comparison_v1,11,audio_item_3,Opt_32,39,75540,
model_comparison_v1,11,audio_item_4,reference,95,22770,
model_comparison_v1,11,audio_item_4,Opt_64_dropout,68,22770,
model_comparison_v1,11,audio_item_4,Opt_32,46,22770,
model_comparison_v1,11,audio_item_4,Opt_128,40,22770,
model_comparison_v1,11,audio_item_4,Opt_256,39,22770,
model_comparison_v1,11,audio_item_5,Opt_32,48,128194,
model_comparison_v1,11,audio_item_5,Opt_128,53,128194,
model_comparison_v1,11,audio_item_5,Opt_256,60,128194,
model_comparison_v1,11,audio_item_5,Opt_64_dropout,32,128194,
model_comparison_v1,11,audio_item_5,reference,100,128194,
model_comparison_v1,11,audio_item_6,Opt_32,60,26272,
model_comparison_v1,11,audio_item_6,Opt_128,53,26272,
model_comparison_v1,11,audio_item_6,Opt_256,34,26272,
model_comparison_v1,11,audio_item_6,Opt_64_dropout,39,26272,
model_comparison_v1,11,audio_item_6,reference,95,26272,
model_comparison_v1,11,audio_item_7,Opt_128,59,16532,
model_comparison_v1,11,audio_item_7,Opt_32,51,16532,
model_comparison_v1,11,audio_item_7,reference,100,16532,
model_comparison_v1,11,audio_item_7,Opt_256,39,16532,
model_comparison_v1,11,audio_item_7,Opt_64_dropout,17,16532,
model_comparison_v1,11,audio_item_8,Opt_128,24,132260,
model_comparison_v1,11,audio_item_8,Opt_32,40,132260,
model_comparison_v1,11,audio_item_8,Opt_64_dropout,46,132260,
model_comparison_v1,11,audio_item_8,Opt_256,32,132260,
model_comparison_v1,11,audio_item_8,reference,100,132260,
model_comparison_v1,12,audio_item_1,Opt_256,38,139826,
model_comparison_v1,12,audio_item_1,reference,100,139826,
model_comparison_v1,12,audio_item_1,Opt_32,62,139826,
model_comparison_v1,12,audio_item_1,Opt_128,54,139826,
model_comparison_v1,12,audio_item_1,Opt_64_dropout,73,139826,
model_comparison_v1,12,audio_item_2,reference,100,93882,
model_comparison_v1,12,audio_item_2,Opt_64_dropout,37,93882,
model_comparison_v1,12,audio_item_2,Opt_256,26,93882,
model_comparison_v1,12,audio_item_2,Opt_32,35,93882,
model_comparison_v1,12,audio_item_2,Opt_128,26,93882,
model_comparison_v1,12,audio_item_3,Opt_128,26,37906,
model_comparison_v1,12,audio_item_3,Opt_256,19,37906,
model_comparison_v1,12,audio_item_3,Opt_64_dropout,42,37906,
model_comparison_v1,12,audio_item_3,Opt_32,35,37906,
model_comparison_v1,12,audio_item_3,reference,100,37906,
model_comparison_v1,12,audio_item_4,Opt_256,27,110821,
